discovered exposed lost
strangest bizarre bad
strangest curious common
sneezing shanghai release
pose air movement
designed describe destroy
loop curve line
waiting expect go
waiting hang hurry
waiting remain rush
noisy rambunctious quiet
noisy rowdy silent
squirt spit gather
understood known explicit
understood pat spoken
bunk rubbish sense
noisiest rambunctious quiet
noisiest rowdy silent
sunshine candle darkness
home family outside
home household business
home local commercial
delicate elegant crude
delicate exquisite firm
delicate fragile hard
delicate gentle harsh
flow flood end
flow movement finish
flow progress little
hazard risk safety
budge move hold
mean selfish generous
stop break advance
stop conclusion aid
ache misery happiness
turn change failure
turn curve miss
smearing coat collect
smearing dab gather
smearing plaster honor
sort character individual
sort description one
glowing flushed pale
mail letter conversation
irritable exasperated pleasant
tropical hot cold
tropical steamy freezing
scrub mop organize
scrub rub schedule
aye always nay
metropolitan urban country
fled desert arrive
fled fly come
fled get continue
fled jump face
fled leave stay
fun lively tiring
fun pleasant unhappy
refer hint remove
snort breathe hide
snort drink secret
camp arch calm
therapy cure disease
therapy healing damage
therapy medicine harm
shoulder assume deny
plowing rake plant
twisting screw straighten
twisting spiral explain
fight argument agreement
fight battle calm
morsel hunk increase
morsel mouthful lot
morsel snack total
ghost devil angel
ghost shadow reality
ghost soul being
solve explain destroy
oily creamy dry
cover cap reality
sandman trance activity
postcard message speech
undo unlock button
undo loose close
worn tattered new
diving duck rise
faced challenge aid
piggy+back carry drop
piggy+back cart keep
piggy+back drag lower
crook robber law
mused feel forget
stem trunk root
agreed allow deny
picture art original
brought carry avoid
brought lead fail
brought take hold
flying floating slow
flying soaring ground
hullabaloo chaos calm
sultan king subject
pup cub cause
pup generation parent
maria female man
stung hurt aid
stung injure help
polar icy hot
polar farthest same
shave kiss mend
original beginning borrowed
original opening latest
smidge ounce lot
smidge crumb total
smidge dash whole
fed fuel fail
unsteady rocky stable
unsteady unstable steady
individual particular common
individual personal general
individual separate mixed
tie bandage loss
tie bond win
hem fringe middle
perimeter edge inside
struggling seek forget
struggling try ignore
slight minor important
slight modest large
slight slim likely
father parent effect
father daddy result
wait hold act
wait interim doing
hale fit inappropriate
hale husky small
hale right thin
peg pin loose
peg secure loosen
peg tighten release
roar blast quiet
roar boom silence
fax transmission original
booboo bruise help
booboo burn praise
booboo cramp advantage
snug comfy cool
snug tight cold
filthy muddy pure
roaring crashing quiet
usually frequently rarely
sure convinced unsure
remembered memorized forgotten
remembered recalled lost
stay vacation start
stay stop advance
hided disguise open
hided mask release
dummy figure brain
dummy imitation genius
bathing rinse ignore
ceiling plaster floor
ceiling roof minimum
morrow aurora darkness
slipped move remain
slipped shift correct
slamming bat aid
slamming belt fail
slamming blast help
ahead along behind
pal brother foe
pal chum stranger
coolest refreshing warm
coolest biting annoyed
dreary boring bright
dreary damp colorful
honey darling enemy
honey dear foe
buried hidden bare
small miniature great
swept clear dirty
moaned grumble please
warn hint hide
lulu bright awful
lulu brilliant bad
lulu colorful crude
lulu dazzling dark
killed drown bear
killed get fail
protect cover destroy
daytime candle darkness
crown head worst
wee teeny big
wee little giant
wee miniature great
stranger guest local
drying bare damp
drying dusty wet
parade procession hiding
answer explanation problem
answer key silence
dough cabbage bill
dough lettuce dollar
biggest full little
biggest gigantic miniature
confusing complex easy
confusing complicated plain
kindly gracious mean
insisted hold reply
insisted press forget
bake melt cool
carrying bring avoid
carrying ferry dodge
carrying give drop
carrying haul fix
fluid juicy solid
pumping send shrink
brand+new current familiar
brand+new different future
brand+new late like
grooming tend forget
summoning call cancel
summoning direct divide
round curved straight
hump dune flat
homer family outside
homer household business
homer local commercial
blanket sweeping limited
grouchy crusty cheerful
tippy rocky stable
tippy unstable steady
starving dying fat
starving hungry healthy
crack capital lower
crack choice minor
partner friend foe
spring bound result
wild desert civilized
wild native nice
gogo cheerful dull
identify describe lose
moaning grumble please
pair couple one
outer beyond middle
fainted drop reach
shivered quiver fix
photocopying copy original
impressive exciting common
impressive intense mild
powdered bray build
smashing blast fix
smashing burst lose
smashing crack praise
solved explain destroy
change advance agreement
gruesome frightful attractive
oozing drain pour
oozing dribble hold
stern harsh gentle
hoped expect doubt
include combine divide
include cover erase
still fixed broken
slip mistake success
lady female man
jogging shake calm
jogging dig quiet
brother twin sister
latch bolt key
bat bop praise
soggiest muggy cool
soggiest mushy dry
soggiest saturated hard
teetered flutter steady
aqua broth solid
misbehave fail obey
legged go obey
legged hike stay
legged lead stop
legged parade ignore
gulp mouthful nibble
set arranged flexible
infant kid adult
make form destroy
make prepare confuse
violent crazy calm
violent fierce gentle
attacking beat guard
bob duck face
discussion argument agreement
discussion conference quiet
ashamed bashful calm
wander cruise run
point stop lot
victory advantage failure
victory gain loss
blast+off climb drop
blast+off launch fall
sometime once immediately
crumb dab glob
crumb dash lot
splashy gaudy modest
splashy sensational poor
splashy snazzy simple
compromise arrangement misunderstanding
lock grip key
blue indigo happy
flat horizontal upright
flat low rough
flat flush broken
garble color explain
planter frame flexible
pause hitch start
rec pleasure work
among mid separate
hammer batter destroy
hammer drive fail
unusual awesome common
great enormous limited
great high low
great huge mild
garbled color explain
yawning gap connect
together stable unstable
dining feast fast
strangle kill start
tighter fast calm
tighter narrow flexible
flurried bother aid
enter introduce exit
enter penetrate leave
heavier big easy
hardest strong delicate
hardest tough soft
advance forward last
advance prior after
advance earlier behind
unsure shaky determined
wider broad empty
wider deep limited
skedaddled dart come
poor low rich
teenager minor adult
behind after front
behind afterwards paid
pretty cute homely
pretty graceful ugly
curly fuzzy straight
combed curry twist
combed dress wrinkle
destroy crush aid
destroy end begin
sailing cruise go
sailing float remain
sailing fly stay
sailing leave stop
potty cracked balanced
heated fierce cold
yicky painful delightful
dye stain bleach
inquired inspect ignore
inquired investigate find
inquired explore reply
shame remorse praise
turning spin remain
turning swing stay
turning twist steady
turning bend straighten
yellow low bold
knot tangle advantage
knot braid opening
firm stiff flexible
firm sturdy nice
arranged form destroy
boohoo cry listen
straight nonstop broken
traveling mobile permanent
foe enemy assistant
below under above
below underneath more
videotaping file ignore
infection disease sanitation
power skill lack
shock bump calm
shock disturbance order
waited expect go
waited hang hurry
waited remain rush
squish flatten lose
owe behind pay
nipping catch lot
sensible intelligent foolish
stale smelly damp
stale sour moist
stale watery current
stale dry fresh
approached contact avoid
approached meet go
approached near leave
approached reach miss
load bundle whole
picked name ignore
picked take grow
picked finger plant
hurting damage aid
hurting injure cure
hurting mar fix
frolic fun work
moister rainy dry
performance act failure
evening dark sunrise
without beyond inside
picker choice poor
picker cream worst
mended changed kept
nicest fair bad
nicest friendly cool
nicest kind mean
specifically exactly generally
reached come deny
reached hit fail
reached make go
instant crying old
instant fast past
actor character audience
actor clown fan
crumpled buckle flatten
crumpled crush rise
crumpled scrunch smooth
crumpled crease straighten
hungry greedy full
huggy loving cold
unbutton open close
unbutton undo button
wallpaper plaster strip
h cheer sadness
complicated fancy nice
complicated hard plain
tail rear beginning
tail behind front
tail conclusion head
closer warm far
closer handy beyond
recognize know deny
recognize make forget
recognize note ignore
tackled try complete
swooped pounce rise
sprang bounce allow
compare match combine
snorting breathe hide
snorting drink secret
speak deliver keep
temperature cold cool
walkin buyer manager
walkin patient rear
scissor divide increase
scissor rip sew
scissor slash bear
sailed cruise go
sailed float remain
sailed fly stay
sailed leave stop
drug medicine disease
busiest engaged lazy
prepare form forget
spotty patchy consistent
triumph joy disaster
triumph pride failure
roasting blazing cold
roasting boiling freezing
insisting hold reply
insisting press forget
disappointed complaining cheerful
raking collect divide
saving rescuing wasting
interview conference silence
mood attitude hate
wagging bob calm
jam box advantage
snorted breathe hide
snorted drink secret
dragging dull exciting
dragging long interesting
fat heavy skinny
lot field whole
lot part little
mummy shrink bloom
attaching connect forget
dumbest mum smart
sir knight madam
rainy stormy dry
particular peculiar normal
particular special usual
juvenile green shrinking
falling lowering rising
student junior professor
student pupil teacher
drifted dance run
drifted flutter divide
frame cage center
juliet angel hate
smash bang accomplishment
smash blast construction
smash blow creation
sight eye reality
catchy popular dull
lack loss enough
strange bizarre bad
strange curious common
indoor family alien
indoor home business
search hunt finding
rocker strong unstable
rocker sturdy weak
rocker substantial wobbly
rocker tight flexible
sick down well
lively cheerful dull
extinct cold living
juicy oily dry
seedling grass animal
lead edge center
lead start rear
lead top last
zooming dash slow
zooming dive sew
zooming flash walk
vie challenge aid
vie counter help
vie match support
washed scrubbed dirty
normal ordinary different
rangy lanky chubby
rangy skinny fat
thrill fun sadness
thrill inspiration calm
stinging harsh calm
poisoned sick healthy
matched coordinated different
hurry dash quiet
wrecker labored calm
wrecker stiff comfortable
wrecker tense easy
equal identical unlike
quieter silent noisy
tottered lurch calm
tottered teeter continue
tottered wobble correct
stir fuss calm
worth cost hurt
worth price injury
hooey babble sense
hooey baloney truth
hooey bananas wisdom
healthy fresh delicate
healthy hearty gentle
mazy sophisticated easy
runny melted broken
runny running dry
stood rise lose
lookin show closing
lookin connection conclusion
lookin cut ending
selling trading buying
dash run lump
party amusement task
party ball work
improvement gain failure
rowing sail agree
stabilize fix destroy
stabilize preserve hurt
stabilize secure ignore
slugged bat tap
slugged belt lose
creation formation being
creation production end
creation foundation death
husky hoarse soft
husky rough small
early new old
early previous worn
early recent late
story article truth
flopping flutter increase
flopping jerk rise
hub middle outside
springtime bloom base
springtime choice bottom
springtime fat conclusion
peach blooming hopeless
peach colored sad
munch champ lose
swoop pounce rise
locking grip key
rinse dip dirty
rinse flush dry
refrigerated freeze continue
refrigerated ice warm
brain doctor dumbo
rusty rusted practiced
speckled sprinkled plain
classic usual unusual
classic standard different
pitching cast keep
pitching chuck destroy
essentially necessarily apparently
passenger customer owner
passenger fare driver
nativity creation finish
nativity dawn close
staple primary minor
imagination fancy fact
imagination image reality
sided neighbor loose
invent design end
invent discover lose
unlike contrary same
tightly securely slowly
bigger full little
bigger gigantic miniature
class dashing boring
class fine calm
class fly dull
stretchy dull active
circling whirl free
ask quiz ignore
prior previous after
prior forward future
lurched flounder straighten
lurched jerk face
bloomer fumble truth
quiz examination reply
squeezing crush allow
squeezing grip free
bitsy miniature giant
bitsy slight large
covered closed exposed
present being late
present instant away
woke call sleep
siccing remind prevent
flusher horizontal broken
flusher smooth rough
flusher square uneven
rocked shake remain
rocked shock stay
rocked swing hold
tip cap base
tip crown bottom
louder intense little
display demonstration hiding
manual physical automatic
backward behind forward
rude crude polite
stowed tuck use
slipping move remain
slipping shift correct
excellent attractive common
best first last
repeat replay original
destination haven beginning
destination station source
destination stop start
slurp eat hold
slurp gobble keep
fluttering flicker steady
fluttering flop remain
fluttering quiver stay
finely hardly frequently
lilliputian dwarf big
lilliputian little great
lilliputian mini important
scare shock security
scare start comfort
yesterday past tomorrow
disappeared die appear
disappeared dissolve begin
inspect investigate ignore
inspect probe answer
boss champion poor
tumble flop increase
parading flash hide
parading strut cover
hectic exciting peaceful
mechanical fixed feeling
unhooked easy hard
unhooked relaxed tight
unhooked sloppy attached
invite draw ignore
flourished boom fail
muffled dull light
comfortable convenient cool
buyer customer owner
repair improvement breaking
indignation fury cheer
crumbled collapse build
crumbled crush develop
snack morsel meal
central important extra
placing lay remove
placing plant take
today current old
today stylish ancient
amazing shocking ordinary
hibernation trance activity
available convenient impossible
available handy limited
exploring examine find
exploring research ignore
crick cramp health
rush flood slowing
rush flow guarding
rush scramble protection
squirting spit gather
usual current different
misunderstood mistaken correct
misunderstood wrong right
narrow limited free
routine normal different
invented created genuine
shivering quiver fix
forgotten erased recalled
yoohoo cheer quiet
yoohoo groan silence
yoohoo grunt calm
lacy ornate thick
hugging cradle give
row chain peace
wind+up complete begin
wind+up settle start
sting hurt aid
sting injure help
murky dirty brilliant
murky dreary clean
eject bump admit
clear sunny cloudy
clear crystal rainy
clear fine stormy
clear light gloomy
cooking boiling freezing
abstract unreal simple
abstract deep actual
abstract ideal concrete
grubby messy nice
tart cutting kind
tart dry mild
tart sharp nice
bam smack tap
skinny lanky plump
skinny scrawny thick
traveled international empty
chilly cool heated
chilly crisp hot
chilly frosty warm
fix mess solution
fix corner advantage
twisted tangled even
twisted twisting simple
dwarf low huge
dwarf pocket tall
dwarf small giant
wreck crash building
transform mold keep
dearest darling cool
dearest pet common
drilling break ignore
drilling exercise learn
glow bloom dark
nice fair bad
nice friendly cool
nice kind mean
agreeable delightful horrible
agreeable mild unhappy
told announce ask
silver white dark
swipe blow lose
swipe clip praise
wide broad empty
wide deep limited
basement storage attic
divine marvelous ordinary
missing removed enough
missing misplaced here
shredded sliver mend
shredded tear sew
furnace heater freezer
dull dumb bright
dull slow exciting
open free limited
slug bat tap
slug belt lose
second extra important
strike crash lose
strike drive miss
downtown main country
downtown metropolitan minor
dead buried alive
dead late living
bar boom loss
sail cruise go
sail float remain
sail fly stay
sail leave stop
mine pit end
mine quarry lack
mine reserve result
flushing horizontal broken
flushing smooth rough
flushing square uneven
sharpened dress dull
rowdy loud calm
rowdy rude quiet
pick prize worst
freshen air suppress
private exclusive common
private independent known
private individual ordinary
private secret public
private separate open
possible available impossible
volume figure letter
volume number individual
handsome dapper dull
handsome elegant homely
unload dump keep
concentrate put ignore
shuffle pad organize
shuffle scrape run
handing reach receive
handing send hold
handing shoot keep
handing throw take
touchy jumpy collected
tilt leaning increase
tilt slant rise
tilt dip agreement
time date ending
serve give keep
serve hit take
spend concentrate build
spend contribute keep
spend drop save
upsidedown tangled ordered
upsidedown confused straight
squawk screech praise
plane flush broken
plane plain changing
plane regular different
aside away middle
cranky grouchy cheerful
cranky grumpy happy
cranky irritable pleasant
cloudy dense bright
cloudy dull clear
regret concern delight
sues charge deny
none nobody some
nonstop endless broken
familiar simple business
familiar usual different
swam crawl stop
unavailable out available
spilling dribble collect
spilling empty gather
spilling pour hide
baby+sit notice miss
crayoned dye dull
rivet latch key
common everyday different
tricky delicate direct
splattered drown dry
labored clumsy clever
hang decorate forget
hang drape remove
foolish crazy balanced
foolish fantastic logical
foolish insane practical
stock dull different
stock normal extra
boundary border center
boundary edge middle
explore examine find
explore research ignore
presenting do deny
presenting give destroy
presenting offer fail
forward progressive later
yawned gap connect
breathe inhale hide
breathe sigh secret
baggy floppy firm
lifting raise fall
hassle squabble peace
give allow deny
give deliver hold
bumped crash praise
lightly easily roughly
bonked crash lose
bonked drive miss
amazed alarm bore
wading paddle avoid
organizing form confuse
zzz relax wake
teeny tiny big
teeny wee huge
teeny miniature enormous
content willing upset
sage knowing slow
sage sharp stupid
banging rattle tap
sturdy hearty calm
streak bar lot
moist rainy dry
shunted foil allow
hairy fuzzy smooth
hairy shaggy bald
hairy woolly clean
appropriate correct inappropriate
imp devil god
visit call go
ornate beautiful dull
ornate fancy poor
ornate gaudy ugly
block brick whole
block chunk opening
collapse catastrophe miracle
collapse crash success
collapse destruction creation
walked go obey
walked hike stay
walked lead stop
walked parade ignore
mild breezy cold
mild calm excited
mild cool firm
mask veil truth
pink flush sickness
tumbled flop increase
sorting catalogue collect
sorting separate gather
counting estimate guess
loosen loose tighten
loosen relax attach
loosen undo combine
partying feast anger
kooky cranky common
fuss confusion agreement
fuss flap peace
handed reach receive
handed send hold
handed shoot keep
handed throw take
shake rattle order
dived duck rise
beg pray give
presumed pretend doubt
presumed suppose measure
voice sound silence
voice speech quiet
dense solid soft
consistent steady unsteady
dingy dirty bright
dingy dreary good
provided bring deny
dunked soak dry
slightly somewhat greatly
door gate conclusion
funnier hilarious sensible
moment date whole
rinsing dip dirty
rinsing flush dry
sneezed shanghai release
kipper preserve soften
kipper keep injure
flexible soft firm
sophisticated cool encouraged
chariot bicycle end
chariot boat goal
shed drop keep
shed scrap collect
lunchtime noon midnight
navigated handle forget
fiend ogre angel
fiend beast friend
little slight large
baking boiling freezing
hidden covered bare
hidden dark clear
rotten disgusting fresh
rotten moldy good
upsetting annoying agreeable
add cast estimate
separately personally together
longer high little
longer tall small
starred dotted bare
stable calm broken
yea vote nay
formation creation destruction
formation development ruin
bruised batter aid
bruised crush cure
bruised injure heal
bruised mar help
played clown direct
untwist free tangle
untwist loosen twist
glad pleased dull
glitzy beautiful dull
glitzy fancy poor
glitzy gaudy ugly
stacking heap ditch
scraggly scruffy neat
celebrated glorious unknown
squishy mushy thin
slick greasy dry
slick icy dull
slick shiny clumsy
cramp pain aid
tadpole fellow girl
elbow bend line
mr. father girl
mr. guy female
explaining describe hide
aggravating bum help
aggravating dog please
goody reward punishment
pant breathe hide
zoom dash slow
zoom dive sew
zoom flash walk
chapped fuzzy easy
chapped harsh flat
chapped rocky gentle
pledge guarantee break
posing model go
posing peacock move
heating melting cooling
heating warming freezing
dame gal man
paying grant hold
require miss hate
require wish have
unzip undo fasten
dandy marvelous bad
dandy splendid ordinary
dandy terrific poor
expression explanation question
sliding fall remain
tramping bum tiptoeing
unit group part
unit system piece
wily sly open
graceful delicate crude
graceful elegant fat
graceful exquisite homely
socket compartment solid
socket hole mound
socket sack mountain
intellectual creative body
peace love hate
rusted wither develop
cuz brother foe
cuz chum stranger
wall barrier middle
wall block opening
wall dam aid
someplace elsewhere nowhere
delight pleasure sadness
slippery greasy dry
slippery icy safe
slippery polished certain
creamer choice poor
creamer cream worst
propose introduce answer
propose recommend ignore
propose request reply
swirly crooked straight
work production entertainment
busy engaged lazy
proper decent inappropriate
skipping dance stay
skipping fly wait
skipping hop meet
quietest silent noisy
tush behind front
flip+flop bottom top
youth bloom experience
sulking gloom grin
out dead modern
possibility hazard safety
exquisite charming careless
slam blast loss
slam burst praise
cuddled snuggle release
supervise handle follow
supervise inspect serve
behave perform stop
behave take misbehave
pinching mean generous
flash burst darkness
glared stare help
blocking bar advance
write note keep
write pen stop
zero bottom somebody
zero love being
night dark day
crew company individual
crew crowd whole
jerky bumpy fluid
jerky shaking smooth
threaded attach loose
week date ending
someday sometime never
thirsty greedy moist
thirsty hungry satisfied
thirsty impatient wet
scan flash forget
rubbing brush dirty
rubbing clean strip
rubbing coat uncover
rubbing cover dull
butt bottom top
snowstorm blizzard calm
asked quiz ignore
pity kindness happiness
wronging bad accurate
wronging false good
fluttered flicker steady
fluttered flop remain
fluttered quiver stay
counted estimate guess
collapsed drop fix
collapsed fail mend
collapsed faint straighten
medieval antique current
chimed bong lose
grabbed catch free
muggy moist dry
least first big
least gutter huge
least last substantial
least minimum most
push+up lift calm
push+up rocket drop
new current familiar
new different future
new late like
posterity children past
expired finish continue
big full little
big gigantic miniature
task business aid
task exercise entertainment
stout heavy lean
stout plump skinny
aiming design ignore
aiming focus forget
drawn peaked relaxed
wham blow lose
wham crash praise
wham knock tap
jimmy force close
crawled creep rush
meat chow outside
tight fast calm
tight narrow flexible
tin bottle individual
tin box whole
stew pie calm
stew soup control
eyelash drop whole
vim enthusiasm hate
nuclear familiar outer
people crowd animals
people family plants
poured gush stop
place city whole
scruffy tacky smooth
scruffy tattered tidy
shell case core
shell crust inside
disturbing annoying agreeable
count result estimate
swung flap straighten
swung hang stabilize
quickly immediately slowly
freak weirdo ordinary
convince prove prevent
uneven odd even
uneven patchy level
uneven rough matched
uneven spotty regular
tiptoed dodge face
humid moist cold
humid muggy cool
humid soggy dry
polite considerate cool
packed congested clear
packed crowded empty
later following earlier
sport fun work
sport game sadness
goopy fluffy dry
goopy gooey poor
goopy greasy rough
lazy dull active
hardly practically very
sawed divide increase
sawed rip sew
sawed slash bear
strangely rarely regularly
mademoiselle daughter boy
darting flash slow
hit blow failure
hit punch loss
hit shot praise
hit swing flop
shortly soon later
wobbly uneven even
wobbly unstable firm
eve night middle
unbelievable incredible likely
shy bashful bold
smooth easy broken
smooth flat complex
smooth fluid complicated
someone leader nobody
bizarre curious common
causing induce end
dawn daylight sunset
dawn morning conclusion
dawn light end
support base frustration
support bed opposition
felt try give
duck dive face
duck dodge meet
kernel morsel outside
kernel bit surface
system rule part
confused distracted organized
reel lurch stabilize
reel shake steady
cooperate further harm
shooter feeding major
shooter minor original
shooter satellite primary
shooter shoot source
collision butt building
collision contact construction
collision crash creation
injury bruise help
injury burn praise
injury cramp advantage
increase gain loss
rot mold building
razzle+dazzle daring homely
wind blast calm
investigate examine answer
investigate explore forget
investigate inspect ignore
investigate probe reply
troop army individual
overall sweeping specific
nicer fair bad
nicer friendly cool
nicer kind mean
bask lounge hide
staying last go
staying remain leave
goofy foolish responsible
goofy kooky sensible
introduce open deny
introduce recommend hide
whispering humming howling
fork divide join
sipped sample slurp
staggered lurch continue
staggered reel stay
ridden float remain
ridden go stay
ridden guide stop
mineral dead living
searched comb ignore
searched hunt cover
searched inspect find
wavy curved straight
muddy dull bright
muddy filthy clean
muddy flat dry
muddy gloomy light
teeter flutter steady
sneaky nasty honest
sneaky sly straight
dun dirty brilliant
dun dreary clean
shredding sliver mend
shredding tear sew
droopy floppy raised
pecking dig lose
elf fairy giant
emptying drain load
yelling holler whisper
yelling howling whispering
splendid beautiful bad
splendid bright common
splendid brilliant dark
splendid dazzling dull
splendid elegant homely
talented brilliant dull
dopey silly smart
dopey foolish sensible
effect development cause
effect issue source
crumbly soft flexible
stuffed jammed empty
quat bow face
quat dip straighten
learnt gain lose
learnt get miss
dazzle blind calm
crust skin core
crust bloom middle
crust border center
mischief evil advantage
raising lift destroy
raising rear hurt
already earlier later
cheaper reasonable dear
cheaper bargain excellent
knitting crochet divide
knitting fasten loosen
knitting mend release
knitting sew separate
buttercup chick adult
distract disturb calm
batting bop praise
transparent thin blocked
chex checkup allowance
past previous current
past prior future
past spent later
basic necessary minor
swallow eat hold
swallow gobble keep
anchor bower harm
anchor comfort hurt
tot babe adult
tot baby parent
aggravated bum help
aggravated dog please
known common unknown
screwing turn straighten
screwing twine help
screwing wind unscrew
screwing work untwist
edge corner center
edge end inside
edge line middle
stylish dressy old
dive duck rise
splinter chip whole
silly crazy intelligent
silly inappropriate responsible
adi confusion aid
adi excitement calm
cold cool hot
cold crisp kind
plunged drop increase
plunged jump dry
sentence order reward
looser easy hard
looser relaxed tight
looser sloppy attached
underground sunken legal
annoying disturbing agreeable
tucker fail develop
tucker faint grow
tucker suffer delight
troublesome annoying agreeable
troublesome dangerous delicate
troublesome difficult easy
ugliest horrid pretty
score amount part
left near right
traded replaced placed
rested relaxed tired
specific different common
merry+go+round celebration care
howdy hi adios
howdy welcome goodbye
simple plain complex
simple quiet complicated
simple smooth difficult
horrid disgusting attractive
horrid dreadful pleasant
dragged lug push
dragged move remain
quickest active clumsy
partly slightly totally
sunlight daylight sunset
arctic chilly friendly
arctic cool hot
arctic frozen warm
taunted mock please
furry shaggy smooth
cancer disease health
star chief extra
sewed fasten separate
sewed tailor rip
yank snap fix
yank tear push
waking awake drowsy
waking rising sleepy
mother mommy end
favorite main public
favorite popular hated
house box office
raspy gruff soft
tipped dump hold
tipped lean place
tipped spill straighten
tipped tilt even
release charge check
choke fill loose
choke gag advance
gathered collected separated
waked call sleep
tipping dump hold
tipping lean place
tipping spill straighten
tipping tilt even
chopped cube join
leaping bounce allow
leaping rise lower
intermission breather activity
smeared coat collect
smeared dab gather
smeared plaster honor
hard strong delicate
hard tough soft
twilight sunset increase
foggy fuzzy clear
ugly horrid pretty
bear deliver fail
bear take hold
bear ferry lose
brat rascal angel
gaudy flashy modest
suffocating drown free
million lot little
million much part
million thousand ditch
million ton individual
chill chilly friendly
chill freezing heated
chill icy warm
leaking escape keep
use handling harm
use need hurt
use operation injury
copy model original
copy portrait opposite
slightest minor important
slightest modest large
slightest slim likely
precariously badly little
assumption guess knowledge
had admit avoid
had bear deny
twitch flutter steady
twitch jerk aid
scored count lose
scored reckon smooth
gossip chatter quiet
gossip conversation fact
birth creation death
birth delivery end
zap kill bear
lift journey harm
every whole none
piglet family parent
group band individual
group body one
group class whole
nip catch lot
upset amazed calm
upset blue clean
applauded cheer blame
dollar bill coin
somewhere elsewhere nowhere
too more little
recycle save lose
morning aurora darkness
teacher coach pupil
advice information injury
lofty lifted low
lofty raised modest
pointed fine dull
pointed keen mild
pointed peaked nice
chased hunt escape
glide float walk
lemon flop accomplishment
safe snug dangerous
gaggle batch individual
gaggle collection one
gaggle lot single
act step failure
rue lament praise
farther longer closer
uncle father girlfriend
uncle fellow woman
kill drown bear
kill get fail
huge giant little
huge gigantic miniature
core focus cause
jammed caught empty
jammed fast loose
pay fee loss
pay income penalty
bitter tart agreeable
pierce break close
pierce crack join
pierce drill leave
pierce enter mend
oiled grease dry
plugged connection mouth
plugged cork opening
goodie bounty past
press magazine calm
press newspaper peace
emptied drain load
old ancient new
old gray green
range length part
hi welcome goodbye
stubborn determined flexible
ciao goodbye hello
intelligent bright dull
intelligent creative normal
youngest new old
youngest blooming healthy
copying paint ignore
be continue die
collecting save separate
runaway running staying
runaway wild steady
memorized know forget
memorized learn release
warmed heated calm
warmed hot cold
warmed mild freezing
warmed pleasant stormy
dove disappear appear
dove drop arrive
dove fall face
dove jump rise
spoke deliver keep
disappearing die appear
disappearing dissolve begin
exercising enjoy forget
combing curry twist
combing dress wrinkle
lifted raise fall
plugging fill open
plugging pack allow
plugging seal begin
plugging choke help
report article question
report detail quiet
wish choice hate
find bargain loss
shaving kiss mend
unhappy sorry happy
chubby plump skinny
chubby pudgy thin
flashed burst darkness
mound dune valley
guy brother enemy
guy buddy girl
root foundation effect
root heart end
root seed conclusion
heal fix break
heal mend destroy
above over below
above beyond less
growing spreading dying
shutting lock loosen
shutting push open
bald exposed decorated
bald head hairy
leapfrog drop increase
leapfrog fall end
cutest beautiful disgusting
cutest pretty ugly
unlocked open locked
price bill penalty
price cost punishment
thicker fat little
thicker hard narrow
thicker massive skinny
blasting bomb aid
blasting damage build
smelled inhale miss
helping course whole
recycled save lose
green leafy healthy
green raw dying
green tender mature
wrinkly fuzzy easy
wrinkly harsh flat
wrinkly rocky gentle
rock+and+roll opera silence
crush gathering hate
ogre devil angel
ogre giant god
knocking box praise
wave flood line
member branch foe
frightened anxious bold
frightened startled happy
primarily mainly finally
comfort happiness gloom
followed result lead
wintry chilly cheerful
wintry freezing heated
wasteful destructive careful
guessing hunch fact
guessing assumption knowledge
guessing fancy truth
duper double unlike
pool bath lack
pool lagoon want
swim crawl stop
insurance guarantee break
insurance backing opposition
clover inflation loss
stretching draw block
stretching fill close
leaving leftovers core
conversation comment listening
conversation conference silence
warming heat freeze
warming melt chill
warming prepare cool
fatter heavy skinny
ran fly remain
ran jog stay
ran race walk
ran rush continue
hell misery calm
hell nightmare comfort
tiffany lacy heavy
bossing champion poor
jellyfish concerned calm
jellyfish jumpy collected
cream ointment worst
determined serious changeable
interact connect divide
interact cooperate part
decision agreement beginning
decision arrangement cause
smack right off
pitterpatter pat quiet
rocky jagged even
rocky rough smooth
rocky hard flat
wear damage construction
disappear die appear
disappear dissolve begin
devil beast god
headache hassle advantage
headache trouble aid
winding crooked simple
plenty luxury lack
slide fall remain
wanted needed abandoned
ripping boss dull
racket battle calm
impolite rude nice
sound solid unstable
hugged cradle give
mam gentleman youngster
interest concern hate
strung adjust destroy
crunch emergency peace
speck dot blank
adore revere hate
hope concern fear
happier delighted disappointed
happier glad grave
scrawny lanky fat
scrawny skinny heavy
scrawny lean chubby
scram disappear stay
scram scoot wait
bonk blow failure
bonk punch loss
bonk shot praise
bonk swing flop
dry bare damp
dry dusty wet
kite message speech
elegant classic common
elegant delicate dull
wonderland heaven hell
threatening dangerous nice
roof house bottom
frost dip increase
frost drop rise
frost freeze heat
darkest cloudy bright
darkest dingy clear
tore crack agree
tore damage attach
tore divide combine
tore grab cure
tore injure fix
sustaining continue hurt
sustaining help stop
squirrelly dumb balanced
squirrelly insane reasonable
wet humid clear
receive collect deny
receive get drop
seagull climb remain
seagull cross slow
seagull flutter rest
number total one
hap adventure design
hap cast plan
tend favor hurt
haul harvest loss
hoarse gruff polite
hoarse harsh soft
ter intense calm
wise aware careless
wise careful foolish
newest current familiar
newest different future
newest late like
skin crust center
skin fur inside
skin jacket middle
fringe edge center
fringe hem inside
fringe perimeter middle
